CALLE,TIPOCALLE
Calle_del_General_Aranaz,PEATONAL
Calle_de_Florencio_GarcÝa,CICLOCALLES
Calle_de_Boldano,CICLOCALLES
Calle_de_Alcalß,PEATONAL
Calle_de_?ngel_Larra,CICLOCALLES
Calle_de_Vßzquez_de_Mella,CICLOCALLES
Calle_de_la_Virgen_de_Lluc,CICLOCALLES
Calle_del_General_Aranaz,PEATONAL
Calle_de_Fernßndez_Caro,CICLOCALLES
Calle_de_Fernßndez_Caro,PEATONAL
Calle_de_Fernßndez_Caro,CICLOCALLES
Calle_de_Fernßndez_Caro,CICLOCALLES
Calle_del_Estrecho_de_Corea,CICLOCALLES
Calle_de_Fernßndez_Caro,CICLOCALLES
Calle_del_Carril_del_Conde,CICLOCALLES
Calle_de_Puerto_de_Santa_MarÝa,CICLOCALLES
Calle_de_Calanda,CICLOCALLES
Calle_de_Canillas,CICLOCALLES
Calle_de_Montalbos,CICLOCALLES
Calle_de_Puerto_de_Santa_MarÝa,PEATONAL
Calle_de_Melisa,CICLOCALLES
Calle_de_Nuestra_Se±ora_de_la_Luz,CICLOCALLES
Calle_de_Ricardo_San_Juan,CICLOCALLES
Calle_de_Ricardo_San_Juan,CICLOCALLES
Calle_de_Utrillas,CICLOCALLES
Avenida_de_la_Virgen_del_Carmen,CICLOCALLES
Carretera_de_Acceso_a_la_Estaci¾n_de_Hortaleza,CICLOCALLES
Carretera_de_Acceso_a_la_Estaci¾n_de_Hortaleza,CICLOCALLES
Avenida_de_San_Luis,PEATONAL
Calle_de_Toscana,CICLOCALLES
Calle_de_Toscana,CICLOCALLES
Calle_de_A±astro,CICLOCALLES
Carretera_de_Acceso_a_la_Estaci¾n_de_Hortaleza,CICLOCALLES
Calle_de_A±astro,CICLOCALLES
Calle_de_A±astro,CICLOCALLES
Avenida_de_la_Gran_VÝa_de_Hortaleza,CICLOCALLES
Avenida_de_la_Gran_VÝa_de_Hortaleza,CICLOCALLES
Avenida_de_San_Luis,PEATONAL
Carretera_de_Acceso_a_la_Estaci¾n_de_Hortaleza,CICLOCALLES
Carretera_de_Acceso_a_la_Estaci¾n_de_Hortaleza,CICLOCALLES
Calle_del_Mar_de_las_Antillas,CICLOCALLES
Avenida_de_la_Virgen_del_Carmen,CICLOCALLES
Calle_de_Sim¾n_BolÝvar,CICLOCALLES
Carretera_de_Acceso_a_la_Estaci¾n_de_Hortaleza,PEATONAL
Calle_del_Mar_de_Aral,CICLOCALLES
Calle_de_Calasparra,CICLOCALLES
Parque_Pinar_de_Barajas,PEATONAL
Calle_de_Guadalajara,PEATONAL
Avenida_del_Arroyo_del_Santo,CICLOCALLES
Avenida_del_Arroyo_del_Santo,CICLOCALLES
Calle_de_Albasanz,CICLOCALLES
Calle_del_Vizconde_de_Uzqueta,CICLOCALLES
Calle_de_Iquitos,CICLOCALLES
Calle_de_AlegrÝa_de_Oria,CICLOCALLES
Calle_de_ArUvalo_Lara,CICLOCALLES
Calle_de_Benamargosa,CICLOCALLES
Calle_de_Santa_Leonor,CICLOCALLES
Calle_de_Riobamba,CICLOCALLES
Calle_de_Alcalß,PEATONAL
Calle_de_Juan_Ignacio_Luca_de_Tena,PEATONAL
Calle_de_Dionisio_Inca_Yupanqui,CICLOCALLES
Avenida_de_Machu_Picchu,PEATONAL
Avenida_de_Machu_Picchu,PEATONAL
Avenida_de_Machu_Picchu,CICLOCALLES
Avenida_de_Machu_Picchu,CICLOCALLES
Avenida_de_Machu_Picchu,PEATONAL
Calle_de_Diana,CICLOCALLES
Calle_de_Nicolasa_G¾mez,CICLOCALLES
Calle_de_Nicolasa_G¾mez,CICLOCALLES
Calle_de_Inocenta_de_Mesa,CICLOCALLES
Calle_del_NUctar,CICLOCALLES
Calle_de_Guadalajara,PEATONAL
Calle_de_la_Esfinge,CICLOCALLES
Calle_de_la_Esfinge,CICLOCALLES
Calle_de_San_Venancio,CICLOCALLES
Plaza_de_Mora_de_Rubielos,PEATONAL
Calle_de_Barbastro,CICLOCALLES
Calle_de_la_Esfinge,CICLOCALLES
Calle_de_Fraga,CICLOCALLES
Calle_de_la_Raza,CICLOCALLES
Plaza_de_Cupido,CICLOCALLES
Calle_de_la_Esfinge,CICLOCALLES
Calle_del_Conde_de_las_Posadas,CICLOCALLES
Calle_de_Luis_de_la_Mata,CICLOCALLES
Calle_de_Pico_Moncayo,CICLOCALLES
Calle_del_Disc¾bolo,CICLOCALLES
Calle_de_GutiUrrez_Canales,CICLOCALLES
Calle_de_Torre_Arias,CICLOCALLES
Calle_de_Valderrobres,CICLOCALLES
Calle_de_Villaescusa,CICLOCALLES
Calle_de_Villasilos,CICLOCALLES
Calle_de_Pobladura_del_Valle,CICLOCALLES
Calle_de_Alberique,CICLOCALLES
Calle_de_Alberique,CICLOCALLES
Calle_de_Albaida,CICLOCALLES
Calle_de_Julio_Chellini,CICLOCALLES
Calle_de_Alberique,CICLOCALLES
Calle_de_Julio_Chellini,CICLOCALLES
Calle_de_Albaida,CICLOCALLES
Calle_de_los_Aparejadores,CICLOCALLES
Calle_de_Julio_Chellini,CICLOCALLES
Calle_de_Gregorio_L¾pez_Madera,CICLOCALLES
Calle_de_Gregorio_L¾pez_Madera,CICLOCALLES
Calle_de_los_Aparejadores,CICLOCALLES
Calle_de_los_Pintores,CICLOCALLES
Calle_de_los_Delineantes,CICLOCALLES
Calle_de_Miami,CICLOCALLES
Calle_de_los_Hermanos_GarcÝa_Noblejas,CICLOCALLES
Calle_de_Orense,CICLOCALLES
Calle_de_Carlos_Rubio,CICLOCALLES
Calle_de_Almansa,CICLOCALLES
Calle_de_San_Raimundo,CICLOCALLES
Calle_del_Pez_Austral,CICLOCALLES
Calle_de_la_Estrella_Polar,CICLOCALLES
Calle_de_Juan_Esplandiu,CICLOCALLES
Calle_de_Juan_Esplandiu,CICLOCALLES
Calle_de_Ambr¾s,CICLOCALLES
Calle_de_Palas_de_Rey,CICLOCALLES
Calle_de_Bocßngel,CICLOCALLES
Calle_de_Ram¾n_de_Aguinaga,CICLOCALLES
Paseo_del_MarquUs_de_Zafra,CICLOCALLES
Calle_de_las_Islas_Jarvi,CICLOCALLES
Calle_de_la_Isla_de_Java,CICLOCALLES
Calle_de_Nuestra_Se±ora_de_Valverde,CICLOCALLES
Calle_de_las_Islas_Bermudas,CICLOCALLES
Calle_de_Aurelio_Gonzßlez_de_Gregorio,CICLOCALLES
Callej¾n_de_D¾mine,CICLOCALLES
Calle_de_la_Isla_de_Mindanao,CICLOCALLES
Calle_de_las_PeonÝas,CICLOCALLES
Calle_de_las_PeonÝas,CICLOCALLES
Calle_de_Enrique_de_Prada,CICLOCALLES
Calle_de_Hilario_Pe±asco,CICLOCALLES
Calle_de_Guadalajara,CICLOCALLES
Calle_de_JosU_MarÝa_Fernßndez_Lanseros,CICLOCALLES
Calle_de_Raquel_MUller,CICLOCALLES
Calle_del_Ap¾stol_Santiago,CICLOCALLES
Avenida_de_Daroca,CICLOCALLES
Avenida_de_Daroca,CICLOCALLES
Calle_de_Portugalete,CICLOCALLES
Calle_de_Tirajana,CICLOCALLES
Calle_de_Valleguerra,CICLOCALLES
Calle_de_Alcalß,CICLOCALLES
Calle_de_Cipriano_Sancho,CICLOCALLES
Calle_de_Alcalß,CICLOCALLES
Calle_de_Benidorm,CICLOCALLES
Calle_de_los_Hermanos_G¾mez,PEATONAL
Calle_de_Pablo_Lafargue,CICLOCALLES
Calle_de_MarÝa_Teresa_Sßenz_de_Heredia,CICLOCALLES
Calle_de_Santa_Genoveva,CICLOCALLES
Calle_de_Balbina_Valverde,CICLOCALLES
Calle_del_Nervi¾n,CICLOCALLES
Calle_del_Tambre,CICLOCALLES
Calle_del_Darro,CICLOCALLES
Calle_de_Francisco_de_AsÝs_MUndez_Casariego,CICLOCALLES
Calle_de_San_Julio,CICLOCALLES
Calle_de_Durango,CICLOCALLES
Calle_de_Gallarza,CICLOCALLES
Calle_de_Las_Caleras,CICLOCALLES
Calle_de_MarÝa_Francisca,CICLOCALLES
Calle_de_Cartagena,CICLOCALLES
Calle_de_Gustavo_Fernßndez_Balbuena,CICLOCALLES
Calle_del_Sauce,CICLOCALLES
Calle_de_?ngel_Hernßndez,CICLOCALLES
Calle_de_MartÝn_Machio,CICLOCALLES
Calle_de_Torpedero_Tucumßn,CICLOCALLES
Calle_de_Romero_Gir¾n,CICLOCALLES
Calle_de_Juan_Ram¾n_JimUnez,CICLOCALLES
Calle_de_A±astro,PEATONAL
Avenida_de_la_Gran_VÝa_de_Hortaleza,PEATONAL
Calle_de_Alcorisa,CICLOCALLES
Avenida_de_Machu_Picchu,CICLOCALLES
Avenida_de_Machu_Picchu,CICLOCALLES
Calle_de_Ram¾n_Power,CICLOCALLES
Calle_de_la_Villa_de_Pons,CICLOCALLES
Calle_de_EstÝbaliz,CICLOCALLES
Calle_de_?ngel_Luis_de_la_Herrßn,CICLOCALLES
Calle_de_JosU_MarÝa_Morelos,CICLOCALLES
Calle_de_L¾pez_de_Hoyos,CICLOCALLES
Calle_de_AndrUs_Obispo,CICLOCALLES
Calle_Manzanar,CICLOCALLES
Calle_de_la_Villa_de_Churriana,CICLOCALLES
Plaza_de_Manuel_Rodrigo,CICLOCALLES
Paseo_de_los_Melanc¾licos,CICLOCALLES
Calle_de_Bercial,CICLOCALLES
Paseo_de_los_Melanc¾licos,CICLOCALLES
Paseo_de_los_Olmos,CICLOCALLES
Calle_del_Concejal_Benito_MartÝn_Lozano,CICLOCALLES
Calle_de_Las_Cigarreras,CICLOCALLES
Calle_de_la_Ribera_de_Curtidores,CICLOCALLES
Calle_de_Miguel_Servet,CICLOCALLES
Calle_de_SombrererÝa,CICLOCALLES
Calle_del_Doctor_Fourquet,CICLOCALLES
Calle_de_Argumosa,CICLOCALLES
Calle_de_JosU_Antonio_de_Armona,CICLOCALLES
Calle_de_Mallorca,CICLOCALLES
Calle_de_Murcia,CICLOCALLES
Paseo_de_Santa_MarÝa_de_la_Cabeza,CICLOCALLES
Paseo_de_la_Esperanza,CICLOCALLES
Calle_de_Sebastißn_Elcano,CICLOCALLES
Calle_del_MarquUs_de_Toca,CICLOCALLES
Calle_de_Ventura_de_la_Vega,CICLOCALLES
Calle_de_la_Cooperativa_ElUctrica,CICLOCALLES
Calle_de_la_Cooperativa_ElUctrica,CICLOCALLES
Calle_de_Esteban_Carros,CICLOCALLES
Calle_del_Padre_Llanos,CICLOCALLES
Calle_del_Cristo_de_Lepanto,CICLOCALLES
Calle_de_Mariano_Vela,CICLOCALLES
Calle_de_Primitiva_Ga±ßn,CICLOCALLES
Calle_de_Enrique_Fuentes,CICLOCALLES
Calle_de_Madridejos,CICLOCALLES
Calle_de_San_Casimiro,CICLOCALLES
Calle_de_Manuel_Noya,CICLOCALLES
Calle_del_Amor_Hermoso,CICLOCALLES
Calle_de_Mirasierra,CICLOCALLES
Calle_de_la_Cuesta,CICLOCALLES
Calle_de_Manuel_Noya,CICLOCALLES
Calle_de_las_Escuelas,CICLOCALLES
Calle_de_Alicante,CICLOCALLES
Calle_del_Hierro,CICLOCALLES
Calle_del_Granito,CICLOCALLES
Calle_del_Cobre,CICLOCALLES
Calle_de_los_Embajadores,PEATONAL
Calle_de_Turmalina,CICLOCALLES
Calle_de_Tomßs_Bret¾n,CICLOCALLES
Calle_del_Sacramento,CICLOCALLES
Calle_de_San_Justo,CICLOCALLES
Calle_de_Delicias,CICLOCALLES
Calle_de_Bustamante,CICLOCALLES
Estaci¾n_de_Delicias,CICLOCALLES
Calle_de_la_Magdalena,CICLOCALLES
Plaza_de_Jacinto_Benavente,CICLOCALLES
Calle_de_Clara_Campoamor,CICLOCALLES
Calle_de_Francisco_GarcÝa,CICLOCALLES
Calle_de_?lvarez_Abellßn,CICLOCALLES
Calle_del_Jilguero,CICLOCALLES
Calle_del_PelÝcano,CICLOCALLES
Avenida_de_Abrantes,CICLOCALLES
Calle_de_Braganza,CICLOCALLES
Calle_de_la_Parra,CICLOCALLES
Calle_del_Doctor_Espina,CICLOCALLES
Calle_de_Ferreira,CICLOCALLES
Calle_de_Castro_de_Oro,CICLOCALLES
Calle_de_Luisa_Mu±oz,CICLOCALLES
Calle_del_Cuclillo,CICLOCALLES
Calle_de_la_Oca,CICLOCALLES
Calle_de_Zaida,CICLOCALLES
Calle_del_Pinz¾n,CICLOCALLES
Calle_de_Blasa_PUrez,CICLOCALLES
Calle_de_Eurico,CICLOCALLES
Calle_de_Rasc¾n,CICLOCALLES
Calle_de_Witiza,CICLOCALLES
Calle_de_Atanagildo,CICLOCALLES
Calle_de_Gundemaro,CICLOCALLES
Calle_de_Santa_Catalina_de_Laboure,CICLOCALLES
Calle_de_Tinam·s,CICLOCALLES
Calle_de_Mercedes_Arteaga,CICLOCALLES
Calle_de_Antonio_Gonzßlez_Porras,CICLOCALLES
Calle_de_Guadalete,CICLOCALLES
Paseo_de_Santa_MarÝa_de_la_Cabeza,CICLOCALLES
Calle_de_Baleares,CICLOCALLES
Calle_de_Antonio_Corpas,CICLOCALLES
Calle_de_Juan_PUrez_Almeida,CICLOCALLES
Calle_de_Lola_Membrives,CICLOCALLES
Calle_de_JoaquÝn_MartÝn,CICLOCALLES
Calle_de_Jacinto_Verdaguer,CICLOCALLES
Calle_de_Ernest_Hemingway,CICLOCALLES
Calle_de_Vicente_Quesada,CICLOCALLES
Calle_de_Gallur,CICLOCALLES
Calle_VÝa_Carpetana,CICLOCALLES
Calle_de_Ram¾n_AzorÝn,CICLOCALLES
Calle_de_la_Alhambra,CICLOCALLES
Calle_del_PalmÝpedo,CICLOCALLES
Calle_de_Francisca_Armada,CICLOCALLES
Calle_de_Saturnino_Morßn,CICLOCALLES
Calle_de_Hernßn_CortUs,CICLOCALLES
Calle_del_Obispo_Trejo,CICLOCALLES
Calle_de_la_Princesa,PEATONAL
Plaza_de_San_Ildefonso,PEATONAL
Calle_Gran_VÝa,PEATONAL
Calle_de_GarcÝa_Molinas,CICLOCALLES
Calle_de_los_Donados,CICLOCALLES
Calle_de_la_Flora,CICLOCALLES
Calle_de_la_Cava_de_San_Miguel,CICLOCALLES
Calle_de_los_Cuchilleros,CICLOCALLES
Calle_de_Concepci¾n_Jer¾nima,CICLOCALLES
Paseo_de_Pontones,CICLOCALLES
Calle_de_La_Maso,CICLOCALLES
Calle_de_?beda,CICLOCALLES
Camino_Viejo_de_Burgos,CICLOCALLES
Calle_de_Manuel_Aza±a,CICLOCALLES
Paseo_de_las_Alamedillas,CICLOCALLES
Calle_de_Francisco_del_Pozo,CICLOCALLES
Paseo_del_Comandante_Fortea,CICLOCALLES
Paseo_de_Julio_Romero_de_Torres,CICLOCALLES
Calle_de_la_BahÝa,CICLOCALLES
Calle_del_Cristo_de_la_Victoria,CICLOCALLES
Calle_de_Jes·s_del_Gran_Poder,CICLOCALLES
Calle_de_Almendrales,CICLOCALLES
Calle_de_las_Hijas_de_Jes·s,CICLOCALLES
Calle_de_Caramuel,CICLOCALLES
Calle_de_Santa_?rsula,CICLOCALLES
Calle_de_la_Industria,PEATONAL
Calle_del_Ferial,CICLOCALLES
Calle_de_Meneses,CICLOCALLES
Calle_del_Cerro_Negro,CICLOCALLES
Calle_de_las_Gardenias,CICLOCALLES
Calle_de_Agave,CICLOCALLES
Hospital_Doce_de_Octubre,PEATONAL
Hospital_Doce_de_Octubre,CICLOCALLES
Calle_del_Doctor_Tolosa_Latour,CICLOCALLES
Hospital_Doce_de_Octubre,CICLOCALLES
Hospital_Doce_de_Octubre,PEATONAL
Hospital_Doce_de_Octubre,CICLOCALLES
Calle_de_San_CrispÝn,CICLOCALLES
Calle_de_Do±a_Mencia,CICLOCALLES
Calle_de_AvilUs,CICLOCALLES
Calle_de_Caramuel,CICLOCALLES
Calle_de_Caramuel,PEATONAL
Calle_de_Meneses,CICLOCALLES
Calle_del_Puerto_de_la_Cruz_Verde,CICLOCALLES
Calle_del_Puerto_de_la_Cruz_Verde,CICLOCALLES
Calle_de_Puerto_Serrano,CICLOCALLES
Calle_de_Puerto_Serrano,CICLOCALLES
Calle_de_los_Embajadores,CICLOCALLES
Calle_de_Cabeza_del_Villar,CICLOCALLES
Calle_del_Concejal_Francisco_JosU_JimUnez_MartÝn,CICLOCALLES
Calle_de_Miguel_Aracil,CICLOCALLES
Calle_de_Miguel_Aracil,PEATONAL
Estaci¾n_de_ChamartÝn,CICLOCALLES
Calle_del_Arzobispo_Morcillo,CICLOCALLES
Calle_del_Arzobispo_Morcillo,CICLOCALLES
Hospital_Ram¾n_y_Cajal,CICLOCALLES
Calle_de_San_Modesto,CICLOCALLES
Calle_de_San_Modesto,CICLOCALLES
Avenida_del_Cardenal_Herrera_Oria,CICLOCALLES
Calle_de_Monasterio_de_Las_Huelgas,CICLOCALLES
Calle_de_Monasterio_de_Oseira,CICLOCALLES
Calle_de_La_Cabrera,CICLOCALLES
Calle_de_Torrelaguna,CICLOCALLES
Calle_de_la_Chirimoya,CICLOCALLES
Camino_de_las_Cruces,CICLOCALLES
Camino_de_las_Cruces,CICLOCALLES
Camino_de_Prado_Redondo,CICLOCALLES
Calle_de_Ildefonso_Gonzßlez_Valencia,CICLOCALLES
Calle_de_Doroteo_Laborda,CICLOCALLES
Plaza_de_Cupido,CICLOCALLES
Calle_de_Alberto_Palacios,CICLOCALLES
Calle_de_Santa_Petronila,CICLOCALLES
Calle_de_la_Antracita,CICLOCALLES
Calle_de_Julißn_Rabanedo,CICLOCALLES
Calle_de_Ricardo_Goizueta,CICLOCALLES
Calle_de_Tomßs_Bret¾n,CICLOCALLES
Calle_del_Payaso_Fof¾,CICLOCALLES
Calle_del_Monte_Perdido,CICLOCALLES
Camino_de_Valderribas,CICLOCALLES
Calle_de_JosU_Paulete,CICLOCALLES
Calle_de_Carlos_SolU,CICLOCALLES
Plaza_del_Doctor_Lozano,CICLOCALLES
Plaza_del_Doctor_Lozano,CICLOCALLES
Calle_de_Toledo,CICLOCALLES
Calle_de_Juanelo,CICLOCALLES
Plaza_de_la_Cebada,CICLOCALLES
Plaza_del_?ngel,CICLOCALLES
Plaza_de_Santa_Ana,CICLOCALLES
Paseo_de_la_Ermita_del_Santo,CICLOCALLES
Calle_de_San_Galo,CICLOCALLES
Avenida_del_Manzanares,CICLOCALLES
Calle_de_Menorca,CICLOCALLES
Calle_del_MarquUs_de_la_Ensenada,CICLOCALLES
Calle_de_GUnova,CICLOCALLES
Ronda_del_Tren,CICLOCALLES
Calle_de_la_Rosa_de_Luxemburgo,CICLOCALLES
Calle_de_Colomer,CICLOCALLES
Calle_del_General_Kirkpatrick,CICLOCALLES
Calle_de_Arturo_Soria,CICLOCALLES
Avenida_de_las_Piceas,CICLOCALLES
Calle_de_Dionisio_Inca_Yupanqui,CICLOCALLES
Plaza_del_Liceo,CICLOCALLES
Calle_de_Silvano,CICLOCALLES
Calle_de_Alejandro_Rodriguez,CICLOCALLES
Calle_de_Moguer,CICLOCALLES
Calle_del_Alcalde_MartÝn_de_Alzaga,CICLOCALLES
Calle_de_los_Mßrtires_Maristas,CICLOCALLES
Calle_de_Trajano,CICLOCALLES
Calle_de_Alfonso_RodrÝguez_Castelao,CICLOCALLES
Calle_de_Leopoldo_Alas_ClarÝn,CICLOCALLES
Calle_de_Vicente_Blasco_Ibß±ez,CICLOCALLES
Calle_de_los_Padres_Dominicos,CICLOCALLES
Camino_de_San_Chinarro,CICLOCALLES
Calle_del_P¾rtico_de_la_Gloria,CICLOCALLES
Calle_del_Camino_de_Santiago,CICLOCALLES
Calle_del_P¾rtico_de_la_Gloria,CICLOCALLES
Calle_de_la_Isla_de_Oza,CICLOCALLES
Calle_de_la_Condesa_de_Venadito,CICLOCALLES
Calle_de_la_Rosa,CICLOCALLES
Calle_del_Ave_MarÝa,CICLOCALLES
Avenida_de_Manoteras,CICLOCALLES
Calle_de_los_Escribanos,CICLOCALLES
Calle_de_Doroteo_Laborda,CICLOCALLES
Paseo_de_los_Ferroviarios,CICLOCALLES
Calle_de_Domingo_Pßrraga,CICLOCALLES
Calle_de_la_Cabeza,CICLOCALLES
Calle_de_los_Estudios,CICLOCALLES
Calle_de_la_Ribera_de_Curtidores,CICLOCALLES
Calle_del_Prado,CICLOCALLES
Calle_del_Prado,CICLOCALLES
Calle_de_la_Torrecilla_del_Leal,CICLOCALLES
Calle_de_Maldonadas,CICLOCALLES
Calle_de_la_Cava_Baja,CICLOCALLES
Calle_de_Braojos,CICLOCALLES
Calle_de_Apolonio_Morales,CICLOCALLES
Calle_de_Condes_del_Val,CICLOCALLES
Calle_de_Veracruz,CICLOCALLES
Calle_del_General_Varela,CICLOCALLES
Calle_del_Profesor_Waksman,CICLOCALLES
Calle_de_Juan_Ram¾n_JimUnez,CICLOCALLES
Avenida_del_Santo_?ngel_de_la_Guarda,CICLOCALLES
Calle_del_Camino_de_Le±eros,CICLOCALLES
Avenida_del_Doctor_Federico_Rubio_y_GalÝ,CICLOCALLES
Pasaje_de_las_Bellas_Vistas,CICLOCALLES
Calle_del_Doctor_Reinosa,CICLOCALLES
Calle_de_Alfonso_Rodriguez_Castelao,CICLOCALLES
Calle_de_RosalÝa_de_Castro,CICLOCALLES
Calle_de_Isabel_Clara_Eugenia,CICLOCALLES
Calle_de_Manuel_Pombo_Angulo,CICLOCALLES
Avenida_de_Europa,CICLOCALLES
Calle_del_P¾rtico_de_la_Gloria,CICLOCALLES
Calle_de_Ana_de_Austria,CICLOCALLES
Calle_de_Isabel_Clara_Eugenia,CICLOCALLES
Avenida_de_Manoteras,CICLOCALLES
Camino_de_la_Fuente_de_la_Mora,CICLOCALLES
Avenida_de_la_Fuente_de_la_Mora,CICLOCALLES
Calle_de_Ana_de_Austria,CICLOCALLES
Avenida_de_Manoteras,CICLOCALLES
Camino_de_Fuencarral_a_Hortaleza,CICLOCALLES
Avenida_de_Manoteras,CICLOCALLES
Calle_de_Montearag¾n,CICLOCALLES
Calle_de_Manuel_Uribe,CICLOCALLES
Calle_de_Florencio_Castillo,CICLOCALLES
Calle_de_Mahonia,CICLOCALLES
Calle_de_Chicuelo,CICLOCALLES
Calle_de_JosU_Domingo_Rus,CICLOCALLES
Calle_de_Ulises,CICLOCALLES
Calle_del_Puentecillo,CICLOCALLES
Calle_de_Andorra,CICLOCALLES
Calle_de_Deyanira,CICLOCALLES
Calle_de_Acceso_a_la_estaci¾n_de_O?Donnell,CICLOCALLES
Calle_de_Monte_Esquinza,CICLOCALLES
Calle_de_Tamayo_y_Baus,CICLOCALLES
Estaci¾n_de_Atocha,CICLOCALLES
Calle_de_Rafael_de_Riego,CICLOCALLES
Calle_del_Doce_de_Octubre,CICLOCALLES
Avenida_del_Mediterrßneo,CICLOCALLES
Avenida_del_Manzanares,CICLOCALLES
Avenida_del_Manzanares,CICLOCALLES
Calle_de_Baleares,CICLOCALLES
Calle_de_Sanarmengol,CICLOCALLES
Calle_de_Antonio_L¾pez,CICLOCALLES
Calle_de_Carmen_Bruguera,CICLOCALLES
Calle_Jorge_Juan,CICLOCALLES
Calle_Duque_de_Sesto,CICLOCALLES
Calle_Arrastaria,CICLOCALLES
Calle_Samaniego,CICLOCALLES
Calle_Samaniego,CICLOCALLES
Calle_Esfinge,CICLOCALLES
Calle_Hulla,CICLOCALLES
Calle_Benimamet,CICLOCALLES
Avenida_Monasterio_de_Silos,CICLOCALLES
Calle_Pez_Volador,CICLOCALLES
Calle_Samaria,CICLOCALLES
Avenida_Nazaret,CICLOCALLES
Avenida_Nazaret,CICLOCALLES
Calle_Astros,CICLOCALLES
Intercambiador_Pza._Castilla,PEATONAL
Calle_de_San_Benito,CICLOCALLES
Calle_de_San_Benito,CICLOCALLES
Calle_de_San_Benito,CICLOCALLES
