id,Product,same_as_wikidata_product,WasteType
1,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
2,carton,https://wikidata.org/entity/Q3444710,recycling
3,carton,https://wikidata.org/entity/Q1413974,recycling
4,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
5,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
6,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
7,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
8,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
9,aluminum can,https://wikidata.org/entity/Q3261783,recycling
10,aluminum can,https://wikidata.org/entity/Q3261783,recycling
11,chilled,https://wikidata.org/entity/Q1072971,recycling
12,chilled,https://wikidata.org/entity/Q1072971,recycling
13,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
14,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
15,lid,https://wikidata.org/entity/Q2488579,recycling
16,lid,https://wikidata.org/entity/Q2488579,recycling
17,aerosol,https://wikidata.org/entity/Q104541,recycling
18,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
19,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
20,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
21,chilled,https://wikidata.org/entity/Q1072971,recycling
22,cup,https://wikidata.org/entity/Q81727,recycling
23,lid,https://wikidata.org/entity/Q2488579,recycling
24,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
25,packaging,https://wikidata.org/entity/Q3360230,plastic recycling
26,extruded polystyrene foam,https://wikidata.org/entity/Q3501372,recycling
27,extruded polystyrene foam,https://wikidata.org/entity/Q3501372,recycling
28,aluminum can,https://wikidata.org/entity/Q3261783,recycling
29,plastic film,https://wikidata.org/entity/Q4370258,plastic recycling
30,carton,https://wikidata.org/entity/Q1413974,recycling
31,plastic,https://wikidata.org/entity/Q11474,plastic recycling
32,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
33,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
34,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
35,gable top carton,https://wikidata.org/entity/Q11301688,recycling
36,gable top carton,https://wikidata.org/entity/Q11301688,recycling
37,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
38,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
39,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
40,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
41,bottle opener,https://wikidata.org/entity/Q12360,plastic recycling
42,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
43,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
44,plastic film,https://wikidata.org/entity/Q4370258,plastic recycling
45,disposable food packaging,https://wikidata.org/entity/Q2909236,plastic recycling
46,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
47,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
48,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
49,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
50,aerosol,https://wikidata.org/entity/Q104541,recycling
51,card stock,https://wikidata.org/entity/Q6432723,recycling
52,paper cup,https://wikidata.org/entity/Q1131992,recycling
53,aluminum can,https://wikidata.org/entity/Q3261783,recycling
54,aluminum can,https://wikidata.org/entity/Q3261783,recycling
55,lid,https://wikidata.org/entity/Q2488579,recycling
56,chilled,https://wikidata.org/entity/Q1072971,recycling
57,chilled,https://wikidata.org/entity/Q1072971,recycling
58,lid,https://wikidata.org/entity/Q2488579,recycling
59,lid,https://wikidata.org/entity/Q2488579,recycling
60,chilled,https://wikidata.org/entity/Q1072971,recycling
61,lid,https://wikidata.org/entity/Q2488579,recycling
62,aluminum can,https://wikidata.org/entity/Q3261783,recycling
63,lid,https://wikidata.org/entity/Q2488579,recycling
64,aerosol,https://wikidata.org/entity/Q104541,recycling
65,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
66,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
67,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
68,aerosol,https://wikidata.org/entity/Q104541,recycling
69,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
70,packaging,https://wikidata.org/entity/Q3360230,plastic recycling
71,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
72,packaging,https://wikidata.org/entity/Q3360230,plastic recycling
73,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
74,aluminum can,https://wikidata.org/entity/Q3261783,recycling
75,aluminum can,https://wikidata.org/entity/Q3261783,recycling
76,aluminum can,https://wikidata.org/entity/Q3261783,recycling
77,aluminum can,https://wikidata.org/entity/Q3261783,recycling
78,lid,https://wikidata.org/entity/Q2488579,recycling
79,bottle cap,https://wikidata.org/entity/Q1440281,plastic recycling
80,aluminum can,https://wikidata.org/entity/Q3261783,recycling
81,aluminum can,https://wikidata.org/entity/Q3261783,recycling
82,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
83,aluminum can,https://wikidata.org/entity/Q3261783,recycling
84,disposable food packaging,https://wikidata.org/entity/Q2909236,plastic recycling
283,cigarette,https://wikidata.org/entity/Q1578,recycling
85,aluminum can,https://wikidata.org/entity/Q3261783,recycling
86,aluminum can,https://wikidata.org/entity/Q3261783,recycling
87,chilled,https://wikidata.org/entity/Q1072971,recycling
88,chilled,https://wikidata.org/entity/Q1072971,recycling
89,lid,https://wikidata.org/entity/Q2488579,recycling
90,lid,https://wikidata.org/entity/Q2488579,recycling
91,aluminum can,https://wikidata.org/entity/Q3261783,recycling
92,plastic shopping bag,https://wikidata.org/entity/Q1196111,plastic recycling
93,aerosol,https://wikidata.org/entity/Q104541,recycling
94,card stock,https://wikidata.org/entity/Q6432723,recycling
95,tissue paper,https://wikidata.org/entity/Q1471060,recycling
96,toilet paper,https://wikidata.org/entity/Q5840,recycling
97,plastic bottle,https://wikidata.org/entity/Q1757946,plastic recycling
98,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
99,plastic film,https://wikidata.org/entity/Q4370258,plastic recycling
100,plastic bag,https://wikidata.org/entity/Q498439,plastic recycling
101,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
102,glass bottle,https://wikidata.org/entity/Q5567094,plastic recycling
103,aluminum can,https://wikidata.org/entity/Q3261783,recycling
104,lid,https://wikidata.org/entity/Q2488579,recycling
105,card stock,https://wikidata.org/entity/Q6432723,recycling
106,aluminum can,https://wikidata.org/entity/Q3261783,recycling
107,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
108,hot water bottle,https://wikidata.org/entity/Q1334994,plastic recycling
109,cup,https://wikidata.org/entity/Q81727,recycling
110,chilled,https://wikidata.org/entity/Q1072971,recycling
111,chilled,https://wikidata.org/entity/Q1072971,recycling
112,chilled,https://wikidata.org/entity/Q1072971,recycling
113,lid,https://wikidata.org/entity/Q2488579,recycling
114,lid,https://wikidata.org/entity/Q2488579,recycling
115,chilled,https://wikidata.org/entity/Q1072971,recycling
116,chilled,https://wikidata.org/entity/Q1072971,recycling
117,chilled,https://wikidata.org/entity/Q1072971,recycling
118,chilled,https://wikidata.org/entity/Q1072971,recycling
119,chilled,https://wikidata.org/entity/Q1072971,recycling
120,chilled,https://wikidata.org/entity/Q1072971,recycling
121,chilled,https://wikidata.org/entity/Q1072971,recycling
122,chilled,https://wikidata.org/entity/Q1072971,recycling
123,chilled,https://wikidata.org/entity/Q1072971,recycling
124,lid,https://wikidata.org/entity/Q2488579,recycling
125,lid,https://wikidata.org/entity/Q2488579,recycling
126,lid,https://wikidata.org/entity/Q2488579,recycling
127,lid,https://wikidata.org/entity/Q2488579,recycling
128,lid,https://wikidata.org/entity/Q2488579,recycling
129,egg carton,https://wikidata.org/entity/Q959287,recycling
130,egg carton,https://wikidata.org/entity/Q959287,recycling
131,egg carton,https://wikidata.org/entity/Q959287,recycling
132,egg carton,https://wikidata.org/entity/Q959287,recycling
133,drinking straw,https://wikidata.org/entity/Q189211,recycling
284,cigarette,https://wikidata.org/entity/Q1578,recycling
285,cigarette,https://wikidata.org/entity/Q1578,recycling
134,aluminum can,https://wikidata.org/entity/Q3261783,recycling
135,aluminum can,https://wikidata.org/entity/Q3261783,recycling
