ID,NUM_EXPEDIENTE,FECHA/HORA,CALLE,NUMERO,DISTRITO,DISTRITO_2,TIPO_ACCIDENTE,TIPO_PERSONA,RANGO_EDAD,SEXO,LESIVIDAD
1,2021S000235,2021-01-01T23:05:00Z,AVDA. RAFAELA YBARRA / CALL. MARCELO USERA,0,Usera,https://wikidata.org/entity/Q953368,Alcance,Conductor,DE 45 A 49 AÑOS,Hombre,0
2,2021S000235,2021-01-01T23:05:00Z,AVDA. RAFAELA YBARRA / CALL. MARCELO USERA,0,Usera,https://wikidata.org/entity/Q953368,Alcance,Conductor,DE 40 A 44 AÑOS,Hombre,0
3,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,Hortaleza,https://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,Conductor,DE 21 A 24 AÑOS,Hombre,0
4,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,Hortaleza,https://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,Pasajero,DE 6 A 9 AÑOS,Mujer,14
5,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,Hortaleza,https://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
6,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,Hortaleza,https://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
7,2021S000116,2021-01-01T22:40:00Z,CALL. RAMON ARECES / AUTOV. M-30,0,Moratalaz,https://wikidata.org/entity/Q2076109,Choque contra obstáculo fijo,Conductor,DE 40 A 44 AÑOS,Hombre,0
8,2021S000022,2021-01-01T22:30:00Z,AVDA. ALBUFERA / CALL. LOPEZ GRASS,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Alcance,Conductor,DE 25 A 29 AÑOS,Hombre,14
9,2021S000022,2021-01-01T22:30:00Z,AVDA. ALBUFERA / CALL. LOPEZ GRASS,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Alcance,Conductor,DE 40 A 44 AÑOS,Hombre,2
10,2021S000052,2021-01-01T22:00:00Z,CALL. SAN GUMERSINDO / CALL. BENIDORM,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión lateral,Conductor,DE 21 A 24 AÑOS,Hombre,7
11,2021S000052,2021-01-01T22:00:00Z,CALL. SAN GUMERSINDO / CALL. BENIDORM,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión lateral,Conductor,DE 35 A 39 AÑOS,Hombre,14
12,2021S000163,2021-01-01T18:50:00Z,CALL. MENDEZ ALVARO,83,Arganzuela,https://wikidata.org/entity/Q2000929,Choque contra obstáculo fijo,Conductor,DE 65 A 69 AÑOS,Hombre,14
13,2021S000163,2021-01-01T18:50:00Z,CALL. MENDEZ ALVARO,83,Arganzuela,https://wikidata.org/entity/Q2000929,Choque contra obstáculo fijo,Pasajero,DE 18 A 20 AÑOS,Mujer,14
14,2021S000037,2021-01-01T14:36:00Z,CALL. CAPITAN BLANCO ARGIBAY,210,Tetuán,https://wikidata.org/entity/Q1773540,Colisión lateral,Conductor,DE 25 A 29 AÑOS,Mujer,0
15,2021S000037,2021-01-01T14:36:00Z,CALL. CAPITAN BLANCO ARGIBAY,210,Tetuán,https://wikidata.org/entity/Q1773540,Colisión lateral,Conductor,DESCONOCIDA,Desconocido,0
16,2021S000133,2021-01-01T13:30:00Z,AVDA. MONFORTE DE LEMOS,189,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Colisión fronto-lateral,Conductor,DE 30 A 34 AÑOS,Hombre,0
17,2021S000133,2021-01-01T13:30:00Z,AVDA. MONFORTE DE LEMOS,189,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Colisión fronto-lateral,Conductor,DE 45 A 49 AÑOS,Hombre,0
18,2021S000018,2021-01-01T12:30:00Z,CALL. COBALTO / CALL. SARGENTO BARRIGA,0,Villaverde,https://wikidata.org/entity/Q919536,Choque contra obstáculo fijo,Conductor,DE 25 A 29 AÑOS,Mujer,14
19,2021S000409,2021-01-01T11:50:00Z,AVDA. PUERTA DE HIERRO,5,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Atropello a animal,Conductor,DE 45 A 49 AÑOS,Mujer,0
20,2021S000047,2021-01-01T11:38:00Z,CALL. JOSE BERGAMIN / CALL. FLORENCIO CANO CRISTOBAL,0,Moratalaz,https://wikidata.org/entity/Q2076109,Caída,Conductor,DE 45 A 49 AÑOS,Hombre,2
21,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,Tetuán,https://wikidata.org/entity/Q1773540,Alcance,Conductor,DE 25 A 29 AÑOS,Mujer,14
22,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,Tetuán,https://wikidata.org/entity/Q1773540,Alcance,Pasajero,DE 21 A 24 AÑOS,Hombre,14
23,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,Tetuán,https://wikidata.org/entity/Q1773540,Alcance,Conductor,DE 25 A 29 AÑOS,Hombre,14
24,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,Tetuán,https://wikidata.org/entity/Q1773540,Alcance,Pasajero,DE 25 A 29 AÑOS,Mujer,14
25,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,Tetuán,https://wikidata.org/entity/Q1773540,Alcance,Pasajero,DE 25 A 29 AÑOS,Hombre,14
26,2021S000017,2021-01-01T11:30:00Z,CALL. BRAVO MURILLO,173,Tetuán,https://wikidata.org/entity/Q1773540,Alcance,Pasajero,DE 25 A 29 AÑOS,Mujer,14
27,2021S000016,2021-01-01T09:25:00Z,CALL. PUERTO DE SANTA MARIA,12,Hortaleza,https://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,Conductor,DE 25 A 29 AÑOS,Hombre,14
28,2021S000014,2021-01-01T09:00:00Z,CALL. MARQUES DE JURA REAL,2,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión fronto-lateral,Conductor,DESCONOCIDA,Desconocido,0
29,2021S000014,2021-01-01T09:00:00Z,CALL. MARQUES DE JURA REAL,2,Carabanchel,https://wikidata.org/entity/Q1001991,Colisión fronto-lateral,Conductor,DE 21 A 24 AÑOS,Hombre,0
30,2021S000010,2021-01-01T08:20:00Z,CALL. SOR ANGELA DE LA CRUZ / CALL. ORENSE,0,Tetuán,https://wikidata.org/entity/Q1773540,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
31,2021S000011,2021-01-01T08:05:00Z,CALL. VIA CARPETANA / AVDA. NUESTRA SEÑORA DE VALVANERA,0,Carabanchel,https://wikidata.org/entity/Q1001991,Alcance,Conductor,DE 50 A 54 AÑOS,Hombre,7
32,2021S000011,2021-01-01T08:05:00Z,CALL. VIA CARPETANA / AVDA. NUESTRA SEÑORA DE VALVANERA,0,Carabanchel,https://wikidata.org/entity/Q1001991,Alcance,Conductor,DE 50 A 54 AÑOS,Hombre,14
33,2021S000015,2021-01-01T06:30:00Z,AVDA. LOGROÑO / GENERAL,0,Barajas,https://wikidata.org/entity/Q807230,Choque contra obstáculo fijo,Conductor,DE 25 A 29 AÑOS,Hombre,0
34,2021S000015,2021-01-01T06:30:00Z,AVDA. LOGROÑO / GENERAL,0,Barajas,https://wikidata.org/entity/Q807230,Choque contra obstáculo fijo,Pasajero,DE 30 A 34 AÑOS,Mujer,0
35,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Conductor,DESCONOCIDA,Desconocido,0
36,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Conductor,DE 30 A 34 AÑOS,Mujer,14
37,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Pasajero,DE 35 A 39 AÑOS,Mujer,14
38,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Pasajero,DE 10 A 14 AÑOS,Hombre,14
39,2020S019534,2021-01-01T04:30:00Z,AVDA. PABLO NERUDA / CALL. LEONESES,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Conductor,DE 35 A 39 AÑOS,Hombre,7
40,2021S001513,2021-01-01T02:10:00Z,AVDA. GRAN VIA DE VILLAVERDE - ROTONDA,0,Villaverde,https://wikidata.org/entity/Q919536,Solo salida de la vía,Conductor,DE 25 A 29 AÑOS,Hombre,7
41,2021S000006,2021-01-01T01:35:00Z,CALL. JULIAN CAMARILLO,21,San Blas,https://wikidata.org/entity/Q2001937,Otro,Conductor,DE 45 A 49 AÑOS,Hombre,0
42,2021S000012,2021-01-01T01:30:00Z,AUTOV. M-30. +01800E 18RH15,0,Latina,https://wikidata.org/entity/Q794954,Choque contra obstáculo fijo,Conductor,DE 18 A 20 AÑOS,Hombre,0
43,2021S000012,2021-01-01T01:30:00Z,AUTOV. M-30. +01800E 18RH15,0,Latina,https://wikidata.org/entity/Q794954,Choque contra obstáculo fijo,Pasajero,DE 18 A 20 AÑOS,Hombre,0
44,2021S000012,2021-01-01T01:30:00Z,AUTOV. M-30. +01800E 18RH15,0,Latina,https://wikidata.org/entity/Q794954,Choque contra obstáculo fijo,Pasajero,DE 21 A 24 AÑOS,Mujer,0
45,2021S000012,2021-01-01T01:30:00Z,AUTOV. M-30. +01800E 18RH15,0,Latina,https://wikidata.org/entity/Q794954,Choque contra obstáculo fijo,Pasajero,DE 18 A 20 AÑOS,Mujer,0
46,2021S000004,2021-01-01T01:30:00Z,PASEO. CASTELLANA,4,Salamanca,https://wikidata.org/entity/Q1773521,Atropello a persona,Conductor,DE 65 A 69 AÑOS,Hombre,14
47,2021S000004,2021-01-01T01:30:00Z,PASEO. CASTELLANA,4,Salamanca,https://wikidata.org/entity/Q1773521,Atropello a persona,Peatón,DE 21 A 24 AÑOS,Hombre,14
48,2021S000005,2021-01-01T01:15:00Z,CALL. LAGO SAN MARTIN / CALL. LAGO MARACAIBO,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Conductor,DE 25 A 29 AÑOS,Hombre,7
49,2021S000005,2021-01-01T01:15:00Z,CALL. LAGO SAN MARTIN / CALL. LAGO MARACAIBO,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Colisión fronto-lateral,Conductor,DE 40 A 44 AÑOS,Mujer,14
50,2021S000383,2021-01-01T01:15:00Z,CALL. JACINTO VERDAGUER / CALL. LOLA MEMBRIVES,0,Carabanchel,https://wikidata.org/entity/Q1001991,Atropello a persona,Conductor,DE 70 A 74 AÑOS,Hombre,14
51,2021S000383,2021-01-01T01:15:00Z,CALL. JACINTO VERDAGUER / CALL. LOLA MEMBRIVES,0,Carabanchel,https://wikidata.org/entity/Q1001991,Atropello a persona,Peatón,DE 35 A 39 AÑOS,Hombre,14
52,2021S000383,2021-01-01T01:15:00Z,CALL. JACINTO VERDAGUER / CALL. LOLA MEMBRIVES,0,Carabanchel,https://wikidata.org/entity/Q1001991,Atropello a persona,Peatón,DE 0 A 5 AÑOS,Mujer,7
53,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Conductor,DE 40 A 44 AÑOS,Hombre,14
54,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Conductor,DE 35 A 39 AÑOS,Mujer,2
55,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Pasajero,DE 45 A 49 AÑOS,Hombre,14
56,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Pasajero,DE 15 A 17 AÑOS,Hombre,2
57,2021S000001,2021-01-01T00:50:00Z,AVDA. PRINCESA JUANA DE AUSTRIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Pasajero,DE 0 A 5 AÑOS,Hombre,2
58,2021S000003,2021-01-01T00:30:00Z,ARROYO DE LA MEDIA LEGUA CON AVDA. DE LAS 13 ROSAS,0,Moratalaz,https://wikidata.org/entity/Q2076109,Colisión frontal,Conductor,DE 45 A 49 AÑOS,Mujer,2
59,2021S000003,2021-01-01T00:30:00Z,ARROYO DE LA MEDIA LEGUA CON AVDA. DE LAS 13 ROSAS,0,Moratalaz,https://wikidata.org/entity/Q2076109,Colisión frontal,Conductor,DE 40 A 44 AÑOS,Hombre,3
60,2021S000078,2021-02-01T23:20:00Z,CALL. VITAL AZA / CALL. LOS URQUIZA,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Conductor,DE 21 A 24 AÑOS,Hombre,0
61,2021S000078,2021-02-01T23:20:00Z,CALL. VITAL AZA / CALL. LOS URQUIZA,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Pasajero,DE 21 A 24 AÑOS,Hombre,0
62,2021S000078,2021-02-01T23:20:00Z,CALL. VITAL AZA / CALL. LOS URQUIZA,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión fronto-lateral,Conductor,DE 40 A 44 AÑOS,Hombre,0
63,2021S000067,2021-02-01T23:10:00Z,CALL. AMOR DE DIOS / CALL. SANTA MARIA,0,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Conductor,DE 18 A 20 AÑOS,Hombre,3
64,2021S000067,2021-02-01T23:10:00Z,CALL. AMOR DE DIOS / CALL. SANTA MARIA,0,Centro,https://wikidata.org/entity/Q1763376,Colisión fronto-lateral,Conductor,DE 45 A 49 AÑOS,Hombre,14
65,2021S000064,2021-02-01T22:30:00Z,CALL. GRAN VIA,74,Centro,https://wikidata.org/entity/Q1763376,Alcance,Conductor,DE 60 A 64 AÑOS,Mujer,0
66,2021S000064,2021-02-01T22:30:00Z,CALL. GRAN VIA,74,Centro,https://wikidata.org/entity/Q1763376,Alcance,Conductor,DE 40 A 44 AÑOS,Hombre,0
67,2021S000229,2021-02-01T22:30:00Z,AVDA. ANDALUCIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Conductor,DE 35 A 39 AÑOS,Hombre,0
68,2021S000229,2021-02-01T22:30:00Z,AVDA. ANDALUCIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Conductor,DE 25 A 29 AÑOS,Mujer,0
69,2021S000229,2021-02-01T22:30:00Z,AVDA. ANDALUCIA / AVDA. POBLADOS,0,Usera,https://wikidata.org/entity/Q953368,Colisión fronto-lateral,Pasajero,DE 30 A 34 AÑOS,Hombre,0
70,2021S000093,2021-02-01T22:20:00Z,CALL. ALCALA,154,Salamanca,https://wikidata.org/entity/Q1773521,Atropello a persona,Conductor,DESCONOCIDA,Desconocido,0
71,2021S000093,2021-02-01T22:20:00Z,CALL. ALCALA,154,Salamanca,https://wikidata.org/entity/Q1773521,Atropello a persona,Peatón,DE 10 A 14 AÑOS,Hombre,1
72,2021S000106,2021-02-01T22:15:00Z,CALL. GODELLA,245,Villaverde,https://wikidata.org/entity/Q919536,Atropello a persona,Conductor,DE 25 A 29 AÑOS,Hombre,14
73,2021S000106,2021-02-01T22:15:00Z,CALL. GODELLA,245,Villaverde,https://wikidata.org/entity/Q919536,Atropello a persona,Conductor,DESCONOCIDA,Desconocido,0
