Underground_ID,Underground_Name,Same_As_Wikidata_Underground,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,District_Name,Same_As_Wikidata_District,X,Y
1,Plaza de Espana / Noviciado,https://wikidata.org/entity/Q2219895,Calle,de,San Bernardo,N,49,28015,1,Centro,https://wikidata.org/entity/Q1763376,440100,4475360
2,Estrella,https://wikidata.org/entity/Q2464797,Calle,del,Camino de los Vinateros,N,1,28030,14,Moratalaz,https://wikidata.org/entity/Q2076109,443960,4473846
3,Rios Rosas,https://wikidata.org/entity/Q2479349,Calle,de,Rios Rosas,N,22,28003,7,Chamberi,https://wikidata.org/entity/Q1763370,440632,4477258
4,Campamento,https://wikidata.org/entity/Q2481364,Avda,del,Padre Piquer,N,7,28024,10,Latina,https://wikidata.org/entity/Q794954,434921,4472069
5,Usera,https://wikidata.org/entity/Q643209,Calle,de,Amparo Usera,N,44,28026,12,Usera,https://wikidata.org/entity/Q953368,440111,4471170
6,O'Donnell,https://wikidata.org/entity/Q2479913,Calle,del,Doctor Esquerdo,N,47,28028,4,Salamanca,https://wikidata.org/entity/Q1773521,443392,4475118
7,Puerta del Angel,https://wikidata.org/entity/Q2482152,Paseo,de,Extremadura,N,26,28011,10,Latina,https://wikidata.org/entity/Q794954,438409,4474159
8,El Bercial,https://wikidata.org/entity/Q2485050,Avda,,Comandante Jose Manuel Ripolles,N,4,28905,3,Retiro,https://wikidata.org/entity/Q2002296,438128,4464745
9,Hospital 12 de Octubre,https://wikidata.org/entity/Q929500,Avda,de,Cordoba,N,49,28041,12,Usera,https://wikidata.org/entity/Q953368,441038,4469823
10,Almendrales,https://wikidata.org/entity/Q543261,Avda,de,Cordoba,N,21,28026,12,Usera,https://wikidata.org/entity/Q953368,440873,4470831
11,Lavapies,https://wikidata.org/entity/Q388743,Plaza,de,Lavapies,N,7,28012,1,Centro,https://wikidata.org/entity/Q1763376,440638,4473543
12,Tres Olivos,https://wikidata.org/entity/Q608766,Acces,,M-607,SN,S/N,28034,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,441203,4483828
13,San Fermin-Orcasur,https://wikidata.org/entity/Q2057787,Avda,de,Andalucia,N,9,28041,12,Usera,https://wikidata.org/entity/Q953368,441176,4469263
14,Garcia Noblejas,https://wikidata.org/entity/Q2480917,Calle,de,Luis del Campo,N,1,28017,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,446390,4475710
15,Gregorio Maranon,https://wikidata.org/entity/Q2056442,Calle,de,Jose Abascal,N,65,28003,7,Chamberi,https://wikidata.org/entity/Q1763370,441463,4476838
16,Penagrande,https://wikidata.org/entity/Q2058663,Cmno,de,Ganapanes,N,35,28029,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,439433,4481036
17,Herrera Oria,https://wikidata.org/entity/Q2462763,Calle,de,Valencia de Don Juan,N,1,28034,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,440145,4482000
18,Pio XII,https://wikidata.org/entity/Q2635957,Avda,de,Pio XII,N,27,28016,5,Chamartin,https://wikidata.org/entity/Q1766348,442815,4479575
19,Arguelles,https://wikidata.org/entity/Q1890537,Calle,de,Alberto Aguilera,N,72,28015,7,Chamberi,https://wikidata.org/entity/Q1763370,439380,4476012
20,Callao,https://wikidata.org/entity/Q2055072,Plaza,del,Callao,N,3,28013,1,Centro,https://wikidata.org/entity/Q1763376,440245,4474831
21,Hortaleza,https://wikidata.org/entity/Q2056542,Calle,del,Capitan Cortes,BLQ,4,28033,16,Hortaleza,https://wikidata.org/entity/Q1928529,444794,4480933
22,Aeropuerto T4,https://wikidata.org/entity/Q2605805,Ctra,de,Alcobendas a Barajas,SN,S/N,28042,21,Barajas,https://wikidata.org/entity/Q807230,449835,4482717
23,Pitis,https://wikidata.org/entity/Q2697462,Ctra,a la,Estacion de Pitis,N,19,28035,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,438597,4483172
24,Mostoles,https://wikidata.org/entity/Q684862,Paseo,de la,Estacion,N,13,28933,2,Arganzuela,https://wikidata.org/entity/Q2000929,426752,4464784
25,Puerta de Toledo,https://wikidata.org/entity/Q2056515,Gta,de,Puerta de Toledo,N,1,28005,1,Centro,https://wikidata.org/entity/Q1763376,439776,4473386
26,La Moraleja,https://wikidata.org/entity/Q2059047,Avda,de la,Ermita,N,5,28109,1,Centro,https://wikidata.org/entity/Q1763376,446281,4487203
27,Fuenlabrada Central,https://wikidata.org/entity/Q10948342,Calle,de la,Via,SN,S/N,28944,4,Salamanca,https://wikidata.org/entity/Q1773521,432197,4459646
28,Cartagena,https://wikidata.org/entity/Q2058037,Avda,de,America,N,35,28002,5,Chamartin,https://wikidata.org/entity/Q1766348,443104,4476946
29,Plaza de Espana / Noviciado,https://wikidata.org/entity/Q2219895,Calle,de los,Reyes,N,10,28015,1,Centro,https://wikidata.org/entity/Q1763376,439906,4475278
30,Islas Filipinas,https://wikidata.org/entity/Q966680,Calle,de,Cea Bermudez,N,54,28003,7,Chamberi,https://wikidata.org/entity/Q1763370,439577,4476943
31,Ibiza,https://wikidata.org/entity/Q2464739,Calle,de,Ibiza,N,1,28009,3,Retiro,https://wikidata.org/entity/Q2002296,442541,4474625
32,Alvarado,https://wikidata.org/entity/Q664440,Calle,de,Bravo Murillo,N,138,28020,6,Tetuan,https://wikidata.org/entity/Q1773540,440471,4478187
33,Colon,https://wikidata.org/entity/Q2481248,Plaza,de,Colon,N,2,28046,7,Chamberi,https://wikidata.org/entity/Q1763370,441493,4475413
34,Sevilla,https://wikidata.org/entity/Q2056503,Calle,de,Alcala,N,23,28014,1,Centro,https://wikidata.org/entity/Q1763376,440787,4474601
35,Banco de Espana,https://wikidata.org/entity/Q2481227,Calle,de,Alcala,N,49,28014,1,Centro,https://wikidata.org/entity/Q1763376,441152,4474728
36,Estrecho,https://wikidata.org/entity/Q2055525,Calle,de,Bravo Murillo,N,191,28020,6,Tetuan,https://wikidata.org/entity/Q1773540,440499,4478625
37,Rivas Futura Metro Station,https://wikidata.org/entity/Q2055499,Calle,,Concepcion Arenal,N,1,28529,1,Centro,https://wikidata.org/entity/Q1763376,455537,4465984
38,Plaza Eliptica,https://wikidata.org/entity/Q782113,Plaza,de,Fernandez Ladreda,N,2,28025,11,Carabanchel,https://wikidata.org/entity/Q1001991,439135,4470901
39,Aeropuerto T1-T2-T3,https://wikidata.org/entity/Q2477093,Avda,de la,Hispanidad,N,S/N,28042,21,Barajas,https://wikidata.org/entity/Q807230,451828,4480138
40,Avenida de America,https://wikidata.org/entity/Q730768,Avda,de,America,N,9,28002,5,Chamartin,https://wikidata.org/entity/Q1766348,442722,4476804
41,Cuatro Caminos,https://wikidata.org/entity/Q2420839,Gta,de,Cuatro Caminos,N,9,28020,6,Tetuan,https://wikidata.org/entity/Q1773540,440421,4477814
42,Manuel Becerra,https://wikidata.org/entity/Q2056869,Plaza,de,Manuel Becerra,N,1,28028,4,Salamanca,https://wikidata.org/entity/Q1773521,443344,4475675
43,Puente de Vallecas,https://wikidata.org/entity/Q2479039,Avda,de la,Albufera,N,1,28053,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,443332,4472377
44,Jarama,https://wikidata.org/entity/Q2058848,Plaza,,Guernica,N,1,28830,1,Centro,https://wikidata.org/entity/Q1763376,455531,4475043
45,Canal,https://wikidata.org/entity/Q2479455,Calle,de,Cea Bermudez,N,1,28003,7,Chamberi,https://wikidata.org/entity/Q1763370,440327,4476897
46,Ronda de la Comunicacion,https://wikidata.org/entity/Q3941077,Ronda,de la,Comunicacion,N,22,28050,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,443963,4485398
47,Alonso Martinez,https://wikidata.org/entity/Q2481198,Calle,de,Manuel Gonzalez Longoria,N,14,28010,7,Chamberi,https://wikidata.org/entity/Q1763370,441035,4475762
48,Palos de la Frontera,https://wikidata.org/entity/Q2481204,Calle,de,Palos de la Frontera,N,33,28045,2,Arganzuela,https://wikidata.org/entity/Q2000929,441200,4472935
49,Pueblo Nuevo,https://wikidata.org/entity/Q384453,Calle,de,Alcala,N,372,28027,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,445588,4476519
50,Guzman el Bueno,https://wikidata.org/entity/Q2482402,Calle,de,Guzman el Bueno,N,118,28003,7,Chamberi,https://wikidata.org/entity/Q1763370,439706,4477752
51,Pacifico,https://wikidata.org/entity/Q2479769,Avda,de la,Ciudad de Barcelona,N,79,28007,3,Retiro,https://wikidata.org/entity/Q2002296,442819,4472721
52,Gran Via,https://wikidata.org/entity/Q2729745,Calle,,Gran Via,N,23,28013,1,Centro,https://wikidata.org/entity/Q1763376,440572,4474817
53,Sierra de Guadalupe,https://wikidata.org/entity/Q2479478,Avda,de la,Democracia,N,1,28031,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,447082,4470570
54,Fuencarral,https://wikidata.org/entity/Q2059161,Calle,de la,Fuente Chica,N,21,28034,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,441399,4483147
55,Valdeacederas,https://wikidata.org/entity/Q2055837,Calle,de,Bravo Murillo,N,332,28020,6,Tetuan,https://wikidata.org/entity/Q1773540,441183,4479745
56,Pan Bendito,https://wikidata.org/entity/Q2482414,Avda,de,Abrantes,N,289,28025,11,Carabanchel,https://wikidata.org/entity/Q1001991,437786,4469942
57,Parque Lisboa,https://wikidata.org/entity/Q510707,Calle,de,Porto Lagos,N,7,28924,2,Arganzuela,https://wikidata.org/entity/Q2000929,430371,4467101
58,Laguna,https://wikidata.org/entity/Q2482135,Calle,de,Cuart de Poblet,N,1,28047,10,Latina,https://wikidata.org/entity/Q794954,436948,4472543
59,Parque de los Estados,https://wikidata.org/entity/Q2484454,Calle,de,Venezuela,N,2,28945,2,Arganzuela,https://wikidata.org/entity/Q2000929,433215,4460099
60,Juan de la Cierva,https://wikidata.org/entity/Q592352,Avda,de,Espana,N,20,28903,4,Salamanca,https://wikidata.org/entity/Q1773521,438740,4462823
61,El Carrascal,https://wikidata.org/entity/Q2485042,Avda,,Rey Juan Carlos I,N,85,28916,5,Chamartin,https://wikidata.org/entity/Q1766348,437239,4465592
62,Casa del Reloj,https://wikidata.org/entity/Q2486887,Avda,,Gibraltar,N,11,28914,2,Arganzuela,https://wikidata.org/entity/Q2000929,435595,4464492
63,El Capricho,https://wikidata.org/entity/Q2056510,Calle,de,Pinos de Osuna,N,15,28042,21,Barajas,https://wikidata.org/entity/Q807230,449742,4478467
64,Villa de Vallecas,https://wikidata.org/entity/Q630441,Paseo,de,Federico Garcia Lorca,N,2,28031,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,447370,4470283
65,Valdebernardo,https://wikidata.org/entity/Q2696095,Bulv,de,Indalecio Prieto,N,26,28032,19,Vicalvaro,https://wikidata.org/entity/Q589403,447364,4472553
66,Colombia,https://wikidata.org/entity/Q2462831,Calle,del,Principe de Vergara,N,269,28016,5,Chamartin,https://wikidata.org/entity/Q1766348,442713,4478964
67,Las Musas,https://wikidata.org/entity/Q2482052,Avda,de,Niza,N,61,28022,20,San Blas,https://wikidata.org/entity/Q2001937,448550,4476201
68,Diego de Leon,https://wikidata.org/entity/Q2055658,Calle,de,Francisco Silvela,N,47,28028,4,Salamanca,https://wikidata.org/entity/Q1773521,443032,4476237
69,Nunez de Balboa,https://wikidata.org/entity/Q782924,Plaza,del,Marques de Salamanca,N,9,28006,4,Salamanca,https://wikidata.org/entity/Q1773521,442484,4475928
70,Ventas,https://wikidata.org/entity/Q2014690,Calle,de,Alcala,N,204,28028,4,Salamanca,https://wikidata.org/entity/Q1773521,443822,4476002
71,Plaza de Castilla,https://wikidata.org/entity/Q2463399,Paseo,de la,Castellana,N,216,28046,5,Chamartin,https://wikidata.org/entity/Q1766348,441692,4480016
72,Puerta de Arganda,https://wikidata.org/entity/Q2059170,Calle,de,San Cipriano,N,85,28032,19,Vicalvaro,https://wikidata.org/entity/Q589403,449536,4472679
73,Feria de Madrid,https://wikidata.org/entity/Q2473865,Avda,del,Partenon,N,5,28042,21,Barajas,https://wikidata.org/entity/Q807230,447868,4479637
74,Eugenia de Montijo,https://wikidata.org/entity/Q2058271,Calle,de,Ocana,N,86,28047,11,Carabanchel,https://wikidata.org/entity/Q1001991,436347,4470900
75,La Fortuna,https://wikidata.org/entity/Q3820855,Calle,,San Jose,N,40,28917,6,Tetuan,https://wikidata.org/entity/Q1773540,434062,4467986
76,Alsacia,https://wikidata.org/entity/Q3613056,Plaza,de,Alsacia,N,S/N,28037,20,San Blas,https://wikidata.org/entity/Q2001937,447213,4474579
77,La Almudena,https://wikidata.org/entity/Q3820626,Calle,de,Arriaga,N,75,28017,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,445891,4475180
78,Paco de Lucia,https://wikidata.org/entity/Q5846080,Calle,de,Monasterio de Las Huelgas,N,5,28034,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,440026,4483665
79,Velazquez,https://wikidata.org/entity/Q2481170,Calle,de,Nunez de Balboa,N,33,28001,4,Salamanca,https://wikidata.org/entity/Q1773521,442179,4475365
80,Prosperidad,https://wikidata.org/entity/Q2056525,Plaza,de la,Prosperidad,N,4,28002,5,Chamartin,https://wikidata.org/entity/Q1766348,442882,4477486
81,Arturo Soria,https://wikidata.org/entity/Q2481371,Calle,de,Arturo Soria,N,172,28043,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,444472,4478766
82,Canillas,https://wikidata.org/entity/Q2481265,Avda,de,Machupichu,N,64,28043,16,Hortaleza,https://wikidata.org/entity/Q1928529,446224,4479639
83,Parque de Santa Maria,https://wikidata.org/entity/Q2481002,Calle,de,Santa Virgilia,N,1,28033,16,Hortaleza,https://wikidata.org/entity/Q1928529,445417,4481122
84,Ciudad Lineal,https://wikidata.org/entity/Q2054883,Calle,de,Arturo Soria,N,2,28027,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,445986,4476781
85,La Latina,https://wikidata.org/entity/Q1115250,Calle,de,San Millan,N,5,28005,1,Centro,https://wikidata.org/entity/Q1763376,440025,4473855
86,Carabanchel,https://wikidata.org/entity/Q2056760,Gta,del,Ejercito,N,1,28047,11,Carabanchel,https://wikidata.org/entity/Q1001991,436888,4471277
87,Rivas Urbanizaciones,https://wikidata.org/entity/Q2479404,Plaza,de,Galicia,N,5,28529,1,Centro,https://wikidata.org/entity/Q1763376,453645,4468818
88,Lista,https://wikidata.org/entity/Q2479567,Calle,del,Conde de Penalver,N,45,28006,4,Salamanca,https://wikidata.org/entity/Q1773521,442819,4475819
89,Lago,https://wikidata.org/entity/Q1902898,Ronda,del,Lago,N,3,28011,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,437699,4474444
90,Batan,https://wikidata.org/entity/Q2059269,Paseo,de la,Venta,N,1,28011,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,436208,4473507
91,Sol,https://wikidata.org/entity/Q1766008,Plaza,de la,Puerta del Sol,N,6,28013,1,Centro,https://wikidata.org/entity/Q1763376,440446,4474473
92,Sol,https://wikidata.org/entity/Q1766008,Plaza,de la,Puerta del Sol,N,6,28013,1,Centro,https://wikidata.org/entity/Q1763376,440446,4474470
93,Sol,https://wikidata.org/entity/Q1766008,Plaza,de la,Puerta del Sol,N,6,28013,1,Centro,https://wikidata.org/entity/Q1763376,440446,4474466
94,Nuevos Ministerios Station,https://wikidata.org/entity/Q2705508,Calle,de,Raimundo Fernandez Villaverde,N,67,28046,6,Tetuan,https://wikidata.org/entity/Q1773540,441392,4477767
95,Nuevos Ministerios Station,https://wikidata.org/entity/Q2705508,Calle,de,Raimundo Fernandez Villaverde,N,67,28046,6,Tetuan,https://wikidata.org/entity/Q1773540,441392,4477763
96,La Poveda,https://wikidata.org/entity/Q2479062,Parcela,,9017 Poligono 1,SN,S/N,28500,1,Centro,https://wikidata.org/entity/Q1763376,459545,4463483
97,Empalme,https://wikidata.org/entity/Q2057577,Calle,de,Tembleque,N,105,28024,10,Latina,https://wikidata.org/entity/Q794954,435153,4471597
98,Getafe Central,https://wikidata.org/entity/Q2485075,Calle,,Ferrocarril,N,2,28904,3,Retiro,https://wikidata.org/entity/Q2002296,437737,4462623
99,Tribunal,https://wikidata.org/entity/Q2479844,Calle,de,Fuencarral,N,81,28004,1,Centro,https://wikidata.org/entity/Q1763376,440637,4475505
100,Carpetana,https://wikidata.org/entity/Q2482395,Calle,,Via Carpetana,N,141,28025,11,Carabanchel,https://wikidata.org/entity/Q1001991,437222,4471816
101,Opanel,https://wikidata.org/entity/Q2482116,Calle,del,Valle de Oro,N,50,28019,11,Carabanchel,https://wikidata.org/entity/Q1001991,438733,4471160
102,Conde de Casal,https://wikidata.org/entity/Q2055817,Plaza,del,Conde de Casal,N,3,28007,3,Retiro,https://wikidata.org/entity/Q2002296,443225,4473352
103,Vicente Aleixandre,https://wikidata.org/entity/Q2482382,Avda,de,Gregorio del Amo,N,4,28040,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439101,4477765
104,Alto de Extremadura,https://wikidata.org/entity/Q2482103,Paseo,de,Extremadura,N,154,28011,10,Latina,https://wikidata.org/entity/Q794954,437413,4473726
105,Tirso de Molina,https://wikidata.org/entity/Q2474438,Plaza,de,Tirso de Molina,N,7,28012,1,Centro,https://wikidata.org/entity/Q1763376,440323,4473971
106,Plaza de Espana / Noviciado,https://wikidata.org/entity/Q2219895,Plaza,de,Espana,N,1,28008,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439778,4475204
107,Ventura Rodriguez,https://wikidata.org/entity/Q2378663,Calle,de la,Princesa,N,22,28008,1,Centro,https://wikidata.org/entity/Q1763376,439594,4475613
108,Las Tablas,https://wikidata.org/entity/Q2244102,Calle,de,Palas de Rey,N,30,28050,8,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,443392,4484602
109,Casa de Campo,https://wikidata.org/entity/Q568579,Ctra,del,Zoo,N,1,28011,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,435533,4473000
110,Casa de Campo,https://wikidata.org/entity/Q568579,Paseo,de la,Venta,N,S/N,28011,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,435533,4472996
111,Pueblo Nuevo,https://wikidata.org/entity/Q384453,Calle,de,Alcala,N,372,28027,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,445588,4476523
112,Ciudad Universitaria,https://wikidata.org/entity/Q2482378,Avda,,Complutense,N,1,28040,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,438474,4477451
113,Guzman el Bueno,https://wikidata.org/entity/Q2482402,Calle,de,Guzman el Bueno,N,118,28003,7,Chamberi,https://wikidata.org/entity/Q1763370,439706,4477748
114,Vinateros,https://wikidata.org/entity/Q2479812,Calle,del,Camino de los Vinateros,N,70,28030,14,Moratalaz,https://wikidata.org/entity/Q2076109,444727,4473704
115,Artilleros,https://wikidata.org/entity/Q649362,Calle,del,Camino de los Vinateros,N,210,28030,14,Moratalaz,https://wikidata.org/entity/Q2076109,445650,4473140
116,Nueva Numancia,https://wikidata.org/entity/Q2696516,Avda,de la,Albufera,N,70,28053,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,443747,4472079
117,San Cipriano,https://wikidata.org/entity/Q2479793,Calle,de,San Cipriano,N,68,28032,19,Vicalvaro,https://wikidata.org/entity/Q589403,448993,4472960
118,Alameda de Osuna,https://wikidata.org/entity/Q2403543,Calle,de la,Corbeta,N,14,28042,21,Barajas,https://wikidata.org/entity/Q807230,450295,4478943
119,Estacion del Arte,https://wikidata.org/entity/Q2016175,Plaza,del,Emperador Carlos V,N,11,28012,1,Centro,https://wikidata.org/entity/Q1763376,441353,4473575
120,Atocha Renfe,https://wikidata.org/entity/Q9161733,Avda,de la,Ciudad de Barcelona,N,2,28007,2,Arganzuela,https://wikidata.org/entity/Q2000929,441615,4473322
121,Opera,https://wikidata.org/entity/Q2736048,Plaza,de,Isabel II,N,9,28013,1,Centro,https://wikidata.org/entity/Q1763376,439924,4474612
122,Alonso Martinez,https://wikidata.org/entity/Q2481198,Plaza,de,Alonso Martinez,N,4,28004,7,Chamberi,https://wikidata.org/entity/Q1763370,441076,4475672
123,Tetuan,https://wikidata.org/entity/Q515413,Calle,de,Bravo Murillo,N,264,28020,6,Tetuan,https://wikidata.org/entity/Q1773540,440909,4479318
124,La Gavia,https://wikidata.org/entity/Q3820879,Avda,del,Ensanche de Vallecas,N,16,28031,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,448028,4469234
125,Goya,https://wikidata.org/entity/Q955699,Calle,de,Alcala,N,96,28009,4,Salamanca,https://wikidata.org/entity/Q1773521,442773,4475306
126,Principe de Vergara,https://wikidata.org/entity/Q582040,Calle,de,Alcala,N,123,28009,4,Salamanca,https://wikidata.org/entity/Q1773521,442414,4475131
127,Retiro,https://wikidata.org/entity/Q2056874,Calle,de,Alcala,N,81,28009,3,Retiro,https://wikidata.org/entity/Q2002296,441892,4474842
128,Santo Domingo,https://wikidata.org/entity/Q2125964,Calle,de,San Bernardo,N,11,28013,1,Centro,https://wikidata.org/entity/Q1763376,440051,4474969
129,San Bernardo,https://wikidata.org/entity/Q2055810,Calle,de,San Bernardo,N,94,28015,7,Chamberi,https://wikidata.org/entity/Q1763370,440261,4475933
130,Las Suertes,https://wikidata.org/entity/Q3827256,Calle,de,Canada del Santisimo,N,45,28031,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,449206,4468453
131,Valdecarros,https://wikidata.org/entity/Q667797,Avda,del,Ensanche de Vallecas,N,120,28031,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,449744,4468099
132,Iglesia,https://wikidata.org/entity/Q1113361,Gta,del,Pintor Sorolla,N,2,28010,7,Chamberi,https://wikidata.org/entity/Q1763370,440825,4476473
133,Gran Via,https://wikidata.org/entity/Q2729745,Calle,,Gran Via,N,23,28013,1,Centro,https://wikidata.org/entity/Q1763376,440572,4474820
134,Bambu,https://wikidata.org/entity/Q2244021,Calle,del,Bambu,N,14,28036,5,Chamartin,https://wikidata.org/entity/Q1766348,442778,4481108
135,Principe Pio,https://wikidata.org/entity/Q2527066,Paseo,de la,Florida,N,2,28008,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439002,4474950
136,Principe Pio,https://wikidata.org/entity/Q2527066,Paseo,de la,Florida,N,2,28008,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439002,4474946
137,Principe Pio,https://wikidata.org/entity/Q2527066,Paseo,de la,Florida,N,2,28008,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,439002,4474942
138,Cuzco,https://wikidata.org/entity/Q2482024,Paseo,de la,Castellana,N,162,28046,5,Chamartin,https://wikidata.org/entity/Q1766348,441619,4479076
139,Santiago Bernabeu,https://wikidata.org/entity/Q2704346,Paseo,de la,Castellana,N,97,28046,5,Chamartin,https://wikidata.org/entity/Q1766348,441569,4478317
140,Puerta del Sur,https://wikidata.org/entity/Q2484406,Avda,de la,Libertad,N,2,28924,2,Arganzuela,https://wikidata.org/entity/Q2000929,431138,4466601
141,Joaquin Vilumbrales,https://wikidata.org/entity/Q528905,Avda,de la,Libertad,N,13,28925,2,Arganzuela,https://wikidata.org/entity/Q2000929,431560,4467108
142,Abrantes,https://wikidata.org/entity/Q2484433,Avda,de,Abrantes,N,77,28025,11,Carabanchel,https://wikidata.org/entity/Q1001991,438322,4470489
143,Portazgo,https://wikidata.org/entity/Q2479031,Avda,de la,Albufera,N,131,28018,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,444208,4471756
144,San Blas,https://wikidata.org/entity/Q2482075,Calle,de,Pobladura del Valle,N,27,28037,20,San Blas,https://wikidata.org/entity/Q2001937,447903,4475651
