StationNumber,GisID,Gis_X,Gis_Y,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,Address,Capacity,CoordinatesID,Longitude,Latitude
001a,001 a,"440443,61","4474290,65",001 a,1,Centro,16,Sol,https://wikidata.org/entityQ2465181,"Alcalá Street,2",30,001 a,-3.701.998,404.171.107
001b,001 b,"440480,56","4474301,74",001 b,1,Centro,16,Sol,https://wikidata.org/entityQ2465181,"Alcalá Street,6",30,001 b,-37.015.636,404.172.132
2,2,"440134,83","4474678,23",2,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"CALLE DE MIGUEL MOYA,1,1",24,2,-37.056.739,4.042.058
3,3,"440012,98","4475760,68",3,7,Chamberí,72,Arapiles,https://wikidata.org/entityQ10856744,"Plaza del Conde del Valle de Súchil, Madrid,2",18,3,-37.072.122,404.303.224
4,4,"440396,4","4475565,36",4,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"Calle de Manuela Malasaña, Madrid,3",24,4,-37.026.739,404.285.905
5,5,"440447,06","4475539,6",5,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"calle de Fuencarral,106",27,5,-37.020.743,40.428.362
6,6,"440754,26","4475071,08",6,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"calle de Hortaleza,63",24,6,-36.984.093,404.241.633
7,7,"440811,97","4475187,49",7,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"calle de Hortaleza,75",21,7,-36.977.399,404.252.161
8,8,"441020,56","4475463,16",8,7,Chamberí,74,Almagro,https://wikidata.org/entityQ10954432,"plaza de Alonso Martínez,6",24,8,-36.953.067,404.277.143
9,9,"439813,51","4474129,47",9,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"Plaza de San Miguel, Madrid,9",24,9,-37.094.093,404.156.134
10,10,"441292,12","4475204,43",10,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"Calle del Marqués de la Ensenada, Madrid,16",24,10,-36.920.816,404.254.027
11,11,"440314,86","4475395,19",11,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"calle de San Andrés,20",24,11,-37.036.192,404.270.517
12,12,"440095,53","4475560,73",12,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"San Bernardo street,87",24,12,-37.062.202,404.285.271
13,13,"439733,78","4475434,65",13,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"calle del Conde Duque,22",24,13,-37.104.727,404.273.652
14,14,"439486,2","4475284,13",14,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"calle de Ventura Rodríguez,1",24,14,-37.133.768,404.259.913
15,15,"439996,77","4475313,59",15,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"Calle del Norte, Madrid,10",21,15,-37.073.611,404.262.937
16,16,"439982,39","4474941,66",16,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"San Bernardo street,22",21,16,-37.074.955,404.229.421
17,17,"440263,35","4474964,43",17,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"PLAZA DE CARLOS CAMBRONERO,2,2",24,17,-37.041.859,404.231.675
18,18,"440653,13","4474711,92",18,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"plaza de Pedro Zerolo,1",24,18,-36.995.679,404.209.206
19,19,"441007,98","4474817,8",19,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"Calle de Prim, Madrid,4",24,19,-36.953.951,404.218.997
20,20,"441021,37","4474517,89",20,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"Alcalá Street,49",24,20,-36.952.095,404.191.989
020ampliacion,020 ampliacion,"441014,52","4474516,49",020 ampliacion,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"Alcalá Street,49",6,020 ampliacion,-36.952.901,404.191.858
22,22,"440064,4","4474630,53",22,1,Centro,16,Sol,https://wikidata.org/entityQ2465181,"calle de Jacometrezo,1",24,22,-37.064.995,404.201.452
23,23,"439912,56","4474639,35",23,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"Plaza de Santo Domingo,",24,23,-37.082.901,404.202.137
24,24,"439715,67","4474384,75",24,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"Calle de Carlos III, Madrid,1",24,24,-37.105.866,40.417.906
025a,025 a,"440104,48","4474318,99",025 a,1,Centro,16,Sol,https://wikidata.org/entityQ2465181,"PLAZA DEL CELENQUE,1,1",24,025 a,-37.059.978,404.173.416
025b,025 b,"440102,16","4474309,87",025 b,1,Centro,16,Sol,https://wikidata.org/entityQ2465181,"PLAZA DEL CELENQUE,1,1",24,025 b,-37.060.243,404.172.593
26,26,"441082,03","4475031,58",26,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"Plaza de las Salesas, Madrid,8",24,26,-36.945.421,404.238.308
27,27,"440984,74","4473861,49",27,1,Centro,13,Cortes,https://wikidata.org/entityQ2535637,"Calle de Jesús, Madrid,6",27,27,-36.955.803,404.132.831
28,28,"440752,57","4474394,64",28,1,Centro,13,Cortes,https://wikidata.org/entityQ2535637,"Alcalá Street,26",24,28,-36.983.662,404.180.695
29,29,"440968,62","4474190,29",29,1,Centro,13,Cortes,https://wikidata.org/entityQ2535637,"calle del Marqués de Cubas,25",24,29,-36.958.008,40.416.244
30,30,"439635,83","4474544,08",30,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"Calle de Pavía, Madrid,6",27,30,-37.115.428,404.193.355
31,31,"440050,38","4474208,74",31,1,Centro,16,Sol,https://wikidata.org/entityQ2465181,"Calle Mayor,18",27,31,-3.706.625,404.163.446
32,32,"440090,59","4474042,64",32,1,Centro,16,Sol,https://wikidata.org/entityQ2465181,"Plaza de la Provincia, Madrid,1",18,32,-37.061.355,404.148.511
33,33,"440340,26","4474220,99",33,1,Centro,16,Sol,https://wikidata.org/entityQ2465181,"calle de Carretas,3",21,33,-37.032.096,404.164.757
34,34,"440313,43","4473992,08",34,1,Centro,13,Cortes,https://wikidata.org/entityQ2535637,"Plaza de Jacinto Benavente,",24,34,-37.035.044,404.144.117
35,35,"439730,93","4473970,93",35,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"Plaza del Cordón,1",24,35,-37.103.676,404.141.792
36,36,"439614,82","4474265,33",36,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"Plaza de Ramales, Madrid,5",24,36,-3.711.764,404.168.229
37,37,"439409,3","4473605,14",37,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"Plaza de San Francisco,5",24,37,-37.141.234,404.108.606
38,38,439637,"4473651,64",38,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"carrera de San Francisco,1",24,38,-37.114.443,404.112.961
39,39,439844,"4473646,66",39,1,Centro,11,Palacio,https://wikidata.org/entityQ2136510,"plaza de la Cebada,16",27,39,-37.090.043,404.112.662
40,40,"440207,51","4473923,52",40,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"Calle del Conde de Romanones, Madrid,2",24,40,-37.047.463,404.137.865
41,41,"440694,54","4473746,65",41,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"Calle de Atocha,56",18,41,-36.989.898,40.412.228
42,42,"440757,78","4473584,46",42,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"calle de Santa Isabel,32",24,42,-36.982.294,404.107.714
43,43,"440391,04","4473511,6",43,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"Calle de Lavapiés,36",24,43,-37.025.446,404.100.889
44,44,"440274,63","4473482,26",44,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"calle de Mesón de Paredes,35",21,44,-37.039.138,404.098.162
45,45,"439659,1","4473168,86",45,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"GLORIETA DE LA PUERTA DE TOLEDO,1,1",21,45,-37.111.381,404.069.486
46,46,"439998,9","4472999,74",46,2,Arganzuela,22,Las Acacias,https://wikidata.org/entityQ3319190,"Calle de la Ribera de Curtidores,28",24,46,-37.071.178,404.054.496
47,47,"440368,37","4472905,07",47,2,Arganzuela,22,Las Acacias,https://wikidata.org/entityQ3319190,"Glorieta de Embajadores, Madrid,7 B",24,47,-3.702.755,404.046.233
48,48,"440424,7","4472996,09",48,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"Glorieta de Embajadores, Madrid,2",24,48,-37.020.997,404.054.473
49,49,"440667,66","4473061,04",49,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"Ronda de Atocha,36",24,49,-36.992.427,404.060.497
50,50,"441180,67","4473307,92",50,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"calle de Santa Isabel,57",24,50,-369.322,404.083.102
51,51,"441148,47","4473243,04",51,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"Plaza del Emperador Carlos V,7",27,51,-36.935.934,404.077.234
52,52,"440544,34","4474002,06",52,1,Centro,13,Cortes,https://wikidata.org/entityQ2535637,"Plaza de Santa Ana,9",24,52,-37.007.838,404.145.181
53,53,"440543,46","4473309,62",53,1,Centro,12,Embajadores,https://wikidata.org/entityQ2449844,"calle de Valencia,2",24,53,-37.007.295,404.082.802
54,54,"440592,35","4475345,44",54,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"calle de Barceló,7",21,54,-37.003.435,404.266.233
55,55,"440455,56","4475063,26",55,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"plaza de San Ildefonso,8",24,55,-37.019.295,404.240.716
56,56,"440335,43","4474443,96",56,1,Centro,16,Sol,https://wikidata.org/entityQ2465181,"Plaza del Carmen,1",24,56,-37.032.875,40.418.484
57,57,"439536,86","4475688,34",57,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"calle de Santa Cruz de Marcenado,24",24,57,-37.128.181,404.296.363
58,58,"440791,91","4474859,51",58,1,Centro,14,Justicia,https://wikidata.org/entityQ1992319,"Calle de Augusto Figueroa, Madrid,33",24,58,-36.979.458,404.222.601
59,59,"440271,27","4475221,1",59,1,Centro,15,Universidad,https://wikidata.org/entityQ10387767,"Calle del Espíritu Santo, Madrid,30",21,59,-37.041.167,404.254.802
60,60,"441616,3","4474541,2",60,3,Retiro,35,Jerónimos,https://wikidata.org/entityQ10306766,"Plaza de la Independencia,7",24,60,-36.881.994,404.194.508
61,61,"442720,29","4474753,26",61,3,Retiro,34,Ibiza,https://wikidata.org/entityQ15249910,"Calle de O'Donnell, Madrid,30",24,61,-3.675.206,404.214.379
62,62,"442956,32","4474735,99",62,3,Retiro,34,Ibiza,https://wikidata.org/entityQ15249910,"Calle de O'Donnell, Madrid,48",24,62,-36.724.223,404.212.986
63,63,"443103,74","4474356,79",63,3,Retiro,34,Ibiza,https://wikidata.org/entityQ15249910,"Calle de Ibiza, Madrid,64",24,63,-36.706.508,404.178.926
65,65,"441513,53","4474235,07",65,3,Retiro,35,Jerónimos,https://wikidata.org/entityQ10306766,"Calle de Antonio Maura, Madrid,15",24,65,-36.893.825,404.166.859
67,67,"441190,08","4473587,45",67,1,Centro,13,Cortes,https://wikidata.org/entityQ2535637,"CALLE DE ALMADEN,28,28",24,67,-36.931.349,40.410.829
68,68,"441358,92","4473802,81",68,3,Retiro,35,Jerónimos,https://wikidata.org/entityQ10306766,"CALLE DE ESPALTER,1,1",21,68,-36.911.649,40.412.781
69,69,"441551,54","4473499,36",69,3,Retiro,35,Jerónimos,https://wikidata.org/entityQ10306766,"Calle de Alfonso XII,54",27,69,-36.888.669,404.100.609
70,70,"442494,99","4474064,79",70,3,Retiro,35,Jerónimos,https://wikidata.org/entityQ10306766,"Avenida de Menéndez Pelayo, Madrid,63",24,70,-36.777.994,404.152.203
71,71,"442816,22","4474149,49",71,3,Retiro,36,Niño Jesús,https://wikidata.org/entityQ3773746,"CALLE DEL DOCE DE OCTUBRE,28,28",24,71,-3.674.021,404.160.054
72,72,"443189,11","4474115,08",72,3,Retiro,36,Niño Jesús,https://wikidata.org/entityQ3773746,"Calle del Doctor Esquerdo, Madrid,62",24,72,-3.669.623,40.415.721
73,73,"443229,99","4473642,11",73,3,Retiro,33,Estrella,https://wikidata.org/entityQ3773738,"PLAZA DE LOS ASTROS,,",24,73,-3.669.099,40.411.463
74,74,"442595,78","4473679,92",74,3,Retiro,35,Jerónimos,https://wikidata.org/entityQ10306766,"Avenida de Menéndez Pelayo, Madrid,",24,74,-36.765.768,404.117.601
75,75,"442436,91","4473301,34",75,3,Retiro,35,Jerónimos,https://wikidata.org/entityQ10306766,"Avenida de Menéndez Pelayo, Madrid,",24,75,-36.784.149,404.083.387
76,76,"442712,67","4473182,27",76,3,Retiro,36,Niño Jesús,https://wikidata.org/entityQ3773746,"avenida del Mediterráneo,19",24,76,-36.751.544,404.072.851
77,77,"443083,53","4473073,95",77,3,Retiro,31,Pacífico,https://wikidata.org/entityQ3773753,"Plaza del Conde de Casal, Madrid,8",22,77,-36.707.742,404.063.347
78,78,"442755,86","4472436,57",78,3,Retiro,32,Adelfas,https://wikidata.org/entityQ3774001,"CALLE DEL CERRO DE LA PLATA,2,2",24,78,-36.745.783,404.005.704
79,79,"442252,73","4472937,49",79,3,Retiro,31,Pacífico,https://wikidata.org/entityQ3773753,"Avenida de Menéndez Pelayo, Madrid,38",24,79,-36.805.524,404.050.482
080a,080 a,"441412,24","4473206,43",080 a,2,Arganzuela,27,Atocha,https://wikidata.org/entityQ3814594,"Avenida de la Ciudad de Barcelona, Madrid,",24,080 a,-36.904.816,404.074.122
080b,080 b,"441391,88","4473230,32",080 b,2,Arganzuela,27,Atocha,https://wikidata.org/entityQ3814594,"Avenida de la Ciudad de Barcelona, Madrid,",27,080 b,-36.907.238,40.407.626
81,81,"441288,14","4473447,57",81,3,Retiro,35,Jerónimos,https://wikidata.org/entityQ10306766,"Cuesta de Moyano, Madrid,",24,81,-36.919.663,404.095.758
82,82,"443177,93","4473311,29",82,3,Retiro,33,Estrella,https://wikidata.org/entityQ3773738,"Calle de Lira, Madrid,2",24,82,-3.669.683,404.084.793
83,83,"442770,38","4473844,96",83,3,Retiro,36,Niño Jesús,https://wikidata.org/entityQ3773746,"CALLE DE PIO BAROJA,8 B,8 B",24,83,-36.745.339,404.132.589
84,84,"442918,27","4472746,05",84,3,Retiro,32,Adelfas,https://wikidata.org/entityQ3774001,"Calle del Doctor Esquerdo, Madrid,191",24,84,-36.726.923,404.033.695
85,85,"442319,29","4474723,43",85,3,Retiro,35,Jerónimos,https://wikidata.org/entityQ10306766,"Avenida de Menéndez Pelayo, Madrid,9",27,85,-36.799.299,404.211.415
86,86,"441180,29","4474447,71",86,1,Centro,13,Cortes,https://wikidata.org/entityQ2535637,"Paseo del Prado,",21,86,-36.933.298,404.185.779
87,87,"442016,68","4475450,66",87,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Calle de Ayala, Madrid,44",24,87,-36.835.631,404.276.717
88,88,"442004,11","4475843,28",88,4,Salamanca,46,Castellana,https://wikidata.org/entityQ4781,"calle de Velázquez,73",24,88,-36.837.471,404.312.077
89,89,"442728,15","4475399,8",89,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Ayala, Madrid,102",24,89,-36.751.716,404.272.628
90,90,"442000,33","4475163,96",90,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Calle de Goya,18",24,90,-36.837.297,404.250.878
090ampliacion,090 ampliacion,"442014,61","4475162,88",090 ampliacion,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Calle de Goya,20",6,090 ampliacion,-36.835.613,404.250.791
91,91,"442417,66","4475274,35",91,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Hermosilla,73",24,91,-36.788.203,404.261.113
92,92,"441767,83","4475291,85",92,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Claudio Coello Street,45",24,92,-36.864.821,404.262.237
93,93,"441518,8","4475235,48",93,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Calle de Goya,3",24,93,-36.894.124,404.256.984
94,94,"441407,18","4474977,73",94,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Paseo de Recoletos,22",21,94,-36.907.044,404.233.686
95,95,"441721,55",4474897,95,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Claudio Coello Street,19",24,95,-36.869.914,404.226.634
96,96,"442140,46","4474825,84",96,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Alcalá Street,111",27,96,-36.820.471,404.220.516
97,97,"442301,64","4474872,66",97,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Avenida de Menéndez Pelayo, Madrid,1",27,97,-36.801.515,404.224.846
98,98,"442705,5","4475058,99",98,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"AVENIDA DE FELIPE II,5,5",24,98,-36.754.079,404.241.911
99,99,"442829,62","4475270,48",99,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Alcántara, Madrid,2",24,99,-36.739.638,404.261.048
100,100,"442835,81","4475123,85",100,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Goya,99",24,100,-36.738.777,404.247.843
101,101,"443212,16","4474936,49",101,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"Calle de Jorge Juan,131",24,101,-36.694.246,404.231.223
102,102,"441967,18","4474727,67",102,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Alcalá Street,95",24,102,-36.840.806,404.211.552
103,103,"441766,91","4475752,49",103,4,Salamanca,46,Castellana,https://wikidata.org/entityQ4781,"Calle de José Ortega y Gasset, Madrid,4",24,103,-36.865.351,404.303.733
104,104,"441505,58","4475354,07",104,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Paseo de la Castellana,4",21,104,-36.895.792,404.267.658
105,105,"441684,37","4475386,27",105,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Serrano Street,46",24,105,-36.874.745,404.270.684
106a,106 a,"441647,49","4475141,87",106 a,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Serrano Street,32",18,106 a,-36.878.868,404.248.642
106b,106 b,"441649,86","4475157,87",106 b,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Serrano Street,34",18,106 b,-36.878.604,404.250.085
107,107,"441599,07","4474779,37",107,4,Salamanca,41,Recoletos,https://wikidata.org/entityQ3814551,"Serrano Street,8",24,107,-36.884.243,404.215.952
108,108,"443111,6","4475416,83",108,4,Salamanca,42,Goya,https://wikidata.org/entityQ3814578,"CALLE DE LAS MARTIRES CONCEPCIONISTAS,2,2",27,108,-3.670.653,404.274.425
109,109,"442191,64","4475721,98",109,4,Salamanca,46,Castellana,https://wikidata.org/entityQ4781,"Calle de José Ortega y Gasset, Madrid,32",24,109,-36.815.253,404.301.281
110,110,"438921,15","4476262,7",110,9,Moncloa-Aravaca,91,Casa de Campo,https://wikidata.org/entityQ16302441,"paseo de Moret,",24,110,-37.201.316,404.347.654
111a,111 a,"439144,16","4476128,65",111 a,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"calle del Arcipreste de Hita,8",24,111 a,-37.174.896,404.335.742
111b,111 b,"439120,04","4476174,12",111 b,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"calle del Arcipreste de Hita,12",24,111 b,-37.177.783,40.433.982
112,112,"438517,07","4476028,6",112,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"paseo de Moret,11",24,112,-37.248.727,404.326.267
113,113,"438865,35","4475484,09",113,9,Moncloa-Aravaca,91,Casa de Campo,https://wikidata.org/entityQ16302441,"Paseo del Pintor Rosales,38",24,113,-37.207.145,404.277.472
114,114,"439145,29","4475490,01",114,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"calle de Quintana,13",24,114,-37.174.151,404.278.211
115,115,"439181,48","4475218,76",115,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"PLAZA DEL MARQUES DE CERRALBO,,",24,115,-37.169.626,404.253.802
116a,116 a,"439621,73",4475069,116 a,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"Plaza de España,",24,116 a,-37.117.588,404.240.632
116b,116 b,"439614,47","4475083,02",116 b,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"Plaza de España,",24,116 b,-37.118.457,404.241.889
117,117,"439020,83","4475833,31",117,9,Moncloa-Aravaca,92,Argüelles,https://wikidata.org/entityQ64874,"Calle de Altamirano, Madrid,24",24,117,-37.189.152,404.309.046
118,118,"441605,64","4472470,47",118,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entityQ521009,"CALLE DE JUAN MARTIN EL EMPECINADO,16,16",24,118,-3.688.135,404.007.959
119,119,"441738,36","4472542,79",119,2,Arganzuela,27,Atocha,https://wikidata.org/entityQ3814594,"Calle de Méndez Álvaro, Madrid,7",24,119,-36.865.777,404.014.567
120,120,"441043,78","4472723,55",120,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entityQ521009,"CALLE DE PALOS DE LA FRONTERA,27,27",24,120,-36.947.791,404.030.362
121,121,"440718,1","4472592,85",121,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entityQ521009,"Paseo de Santa María de la Cabeza,58",24,121,-36.986.046,404.018.356
122,122,"440941,06","4475664,68",122,7,Chamberí,74,Almagro,https://wikidata.org/entityQ10954432,"Calle de Santa Engracia, Madrid,16",24,122,-36.962.626,40.429.524
123,123,"439482,59","4475800,04",123,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"Calle de Guzmán el Bueno, Madrid,2",24,123,-37.134.685,404.306.386
124,124,"440683,01","4475810,28",124,7,Chamberí,73,Trafalgar,https://wikidata.org/entityQ10384027,"Calle de Manuel Silvela, Madrid,18",24,124,-36.993.182,404.308.173
125,125,"441067,49","4476306,28",125,7,Chamberí,74,Almagro,https://wikidata.org/entityQ10954432,"Fernández de la Hoz street,29",24,125,-36.948.316,404.353.128
126,126,"440480,69","4476228,15",126,7,Chamberí,73,Trafalgar,https://wikidata.org/entityQ10384027,"Calle del General Álvarez de Castro, Madrid,4",24,126,-37.017.424,404.345.672
127,127,"439915,53","4476159,21",127,7,Chamberí,72,Arapiles,https://wikidata.org/entityQ10856744,"Calle de Fernando el Católico, Madrid,19",24,127,-37.083.987,404.339.055
128,128,"439313,53","4476733,24",128,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"calle de Cea Bermúdez,59",24,128,-37.155.506,404.390.329
128ampliacion,128 ampliacion,"439301,59","4476734,02",128 ampliacion,7,Chamberí,71,Gaztambide,https://wikidata.org/entityQ10288587,"calle de Cea Bermúdez,59",3,128 ampliacion,-37.156.915,404.390.391
129,129,"440777,63","4476658,85",129,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de José Abascal, Madrid,33",24,129,-36.982.818,404.384.684
130,130,"440489,99","4477022,03",130,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de Santa Engracia, Madrid,129",20,130,-37.017.071,404.417.195
131,131,"440293,7","4477027,45",131,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de Bravo Murillo,44",24,131,-3.704.022,404.417.543
132,132,"440334,34","4477541,61",132,7,Chamberí,75,Ríos Rosas,https://wikidata.org/entityQ10366270,"Calle de Santa Engracia, Madrid,168",24,132,-37.035.911,404.463.889
